# Tarif France au 1er juin 2026, rapproché du catalogue embarqué.
# fiche	nom de la fiche	prix unitaire (EUR)	ligne du relevé
mensa-0001	Corrida Brazil Robusto +	14.50	Corrida Brazil Robusto, en 20 cigares
mensa-0005	El Septimo Paris	21.00	El Septimo PARIS, en 15 cigares
mensa-0008	El Septimo Michelangelo	22.00	El Septimo MICHELANGELO, en 20 cigare
mensa-0010	El Septimo , Bomba Orange	65.00	El Septimo BOMBA ORANGE, en 10 cigares
mensa-0014	El Septimo Raphael	25.00	El Septimo RAPHAEL, en 20 cigare
mensa-0017	El Septimo Rembrandt	32.00	El Septimo REMBRANDT, en 20 cigare
mensa-0032	Bolívar Coronas Junior	11.50	Bolivar Coronas Junior, en 25 cigares
mensa-0033	Bolívar Royal Coronas	19.20	Bolivar Royal Coronas, en 25 cigares
mensa-0034	Bolívar Petit Coronas	13.50	Bolivar Petit Coronas, en 25 cigares
mensa-0035	Bolívar Regentes	39.00	Bolivar Regentes Edition Limitée 2021, en 25 cigares
mensa-0036	Bolívar Belicosos Finos	22.30	Bolivar Belicosos Finos, en 25 cigares
mensa-0038	Cohiba Medio Siglo	71.00	Cohiba Medio Siglo, en 25 cigares
mensa-0039	Cohiba Siglo I	36.00	Cohiba Siglo I, en 25 cigares
mensa-0040	Cohiba Panetelas	33.00	Cohiba Panetelas, en 25 cigares
mensa-0042	Cohiba Robustos	82.00	Cohiba Robustos, en 25 cigares
mensa-0043	Cohiba Exquisitos	41.00	Cohiba Exquisitos, en 25 cigares
mensa-0044	Cohiba Siglo Ii	43.00	Cohiba Siglo II, en 25 cigares
mensa-0045	Cohiba Ambar	100.00	Cohiba Ambar, en 10 cigares
mensa-0046	Cohiba Siglo Iv	67.00	Cohiba Siglo IV, en 25 cigares
mensa-0047	Cohiba Siglo VI	110.00	Cohiba Siglo VI, en 25 cigares
mensa-0048	Cohiba Coronas Especiales	61.50	Cohiba Coronas Especiales, en 25 cigares
mensa-0049	Cohiba Siglo Iii	60.00	Cohiba Siglo III, en 25 cigares
mensa-0050	Cohiba Pirámides Extra	129.00	Cohiba Piramides Extra, en 10 cigares
mensa-0051	Cohiba Siglo V	84.50	Cohiba Siglo V, en 25 cigares
mensa-0052	Cohiba Espléndidos	127.50	Cohiba Esplendidos, en 25 cigares
mensa-0053	Cohiba Lanceros	97.00	Cohiba Lanceros, en 25 cigares
mensa-0061	Cuaba Divinos	11.50	Cuaba Divinos, en 25 cigares
mensa-0062	Cuaba Tradicionales	13.80	Cuaba Tradicionales, en 25 cigares
mensa-0063	Cuaba Exclusivos	17.80	Cuaba Exclusivos, en 25 cigares
mensa-0064	Cuaba Distinguidos	23.00	Cuaba Distinguidos, en 10 cigares
